name,address,social_security_number,credit_card,phone,email,customer_id,account_number,routing_number,passport,drivers_license,date_of_birth,dob
Brandon Russell,"8855 Erik Junction, Jacquelineburgh, AL 57684",041-64-1068,8550-2258-5320-6196,(105) 710-1220,johnsnicholas@example.org,CUST000001,6974704587,398950686,8570X6CLF,5QKVV9ZE,1/10/72,1/10/72
Jerome Whitehead,"04697 Harrison Camp, Matthewfort, IL 80311",769-50-3915,0536-8804-7387-2287,(670) 027-3045,alexander86@example.net,CUST000002,4660191851,160861860,UQ4C9V0WB,K0EJXPFD,4/19/07,4/19/07
Rebecca Carlson,"8021 Barrett Extension Suite 586, Lake Stephenshire, WI 44555",868-42-4652,8581-2966-0270-5774,(602) 858-8825,lopezchristopher@example.net,CUST000003,1853951483,354608138,MBMROFUFV,98I8I45Z,9/19/90,9/19/90
Steven Bright,"473 Hooper Drives, Graymouth, AZ 01831",049-75-6382,9099-7591-0575-6553,(753) 260-6684,stephensmith@example.com,CUST000004,8651414895,60964179,UP2R2WP36,RVDLHB15,7/15/61,7/15/61
Tina Walters,"511 Merritt Underpass, Jonesfurt, AK 42766",278-07-8255,3907-8949-0563-1442,(656) 090-7230,stephanie08@example.com,CUST000005,8283477348,117988438,EZ02HD117,WJ5IMNPC,1/8/70,1/8/70
Alexander Fields,"25310 Medina Drive Suite 652, Zacharyburgh, AS 77741",331-60-0658,0036-4241-4538-0527,(363) 866-8361,vreynolds@example.org,CUST000006,427121758,907854536,DG6GUFNYL,0I4IAKFV,6/6/90,6/6/90
Alex Cole,"6028 Savage Passage Apt. 581, Jeffreyshire, MA 12671",012-37-6360,0217-1205-7333-6521,(045) 653-0081,sarah33@example.com,CUST000007,3432809846,855260945,UAW6ASFYL,U2G8MZEM,9/30/55,9/30/55
Andrew Mason,"USNS Chang, FPO AE 25950",356-74-8826,0402-3521-2914-1150,(452) 461-9488,anne19@example.com,CUST000008,8154473011,917652260,0NPA0IFL8,R0KYTEBH,7/22/56,7/22/56
Justin Anderson,"7604 Peterson Fork, New Cynthia, MH 79301",964-90-8344,9850-2443-6370-6122,(083) 179-3696,lcooper@example.org,CUST000009,5131708403,28106796,VLZ1GFCNJ,ITX60QS0,10/29/93,10/29/93
Heather Murray,"USCGC Stewart, FPO AE 59358",288-81-0992,8991-7387-0547-5489,(953) 205-0917,lisa32@example.com,CUST000010,6219139628,178387559,0RV4LPGD7,JXCIJKZL,4/6/79,4/6/79
Amy Perry,"651 Martinez Greens, Brianfurt, AR 77305",838-27-8072,4587-3167-6506-6157,(701) 055-5388,devans@example.net,CUST000011,9530227376,52458415,NDH9I7A56,0Z5EMLWO,7/23/88,7/23/88
Michelle Sanchez,"953 Mason Harbor Suite 021, South Donnaberg, NJ 70638",567-16-1586,1341-1523-1167-6706,(014) 866-5551,ruizamber@example.com,CUST000012,9210768503,454259753,8C4JNVP49,OTKM34V4,9/25/75,9/25/75
Stephanie Walker,"949 Malik Lights Apt. 144, South Michael, AZ 80069",774-64-1671,9569-9982-3026-8794,(934) 283-6196,crawfordfred@example.org,CUST000013,1572259224,622749393,SMDTM2BLK,VKUCGPCW,12/26/94,12/26/94
Christopher Doyle,"7734 Dakota Ridge, Lindsayhaven, CA 83795",312-76-2188,0931-6234-2729-5609,(746) 692-9233,yrussell@example.com,CUST000014,7829328237,114207638,O1ERQ9TRP,JNMAF06T,9/14/72,9/14/72
Kelly Gill,"72333 John Fords Apt. 600, Douglasside, AK 05985",712-75-8168,4170-2452-7741-7755,(135) 449-8110,jessicasuarez@example.com,CUST000015,5577622325,372836562,QXZ81AO4O,OJW2UA3V,8/14/03,8/14/03
